x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
-0.07,0.0,-0.01,0.0,1.0,0.0,,,,0.001267,[-1.62630326e-19  5.96240227e-04 -3.79470760e-19],0.000596,False
-0.07,0.0,0.0,0.0,1.0,0.0,,,,0.001343,[-1.08420217e-19  6.97556531e-04 -5.42101086e-20],0.000698,False
-0.07,0.0,0.01,0.0,1.0,0.0,,,,0.001517,[-3.25260652e-19  8.11399466e-04  2.16840434e-19],0.000811,False
-0.07,0.0,0.02,0.0,1.0,0.0,,,,0.001835,[-2.16840434e-19  9.37263158e-04 -3.79470760e-19],0.000937,False
-0.07,0.0,0.03,0.0,1.0,0.0,,,,0.002331,[-2.16840434e-19  1.07359041e-03 -1.62630326e-19],0.001074,False
-0.07,0.0,0.04,0.0,1.0,0.0,,,,0.00302,[ 1.08420217e-19  1.21738008e-03 -1.08420217e-19],0.001217,False
-0.07,0.0,0.05,0.0,1.0,0.0,,,,0.003903,[-4.33680869e-19  1.36373854e-03 -4.33680869e-19],0.001364,False
-0.07,0.0,0.06,0.0,1.0,0.0,,,,0.004958,[-2.16840434e-19  1.50540899e-03 -3.52365706e-19],0.001505,False
-0.07,0.0,0.07,0.0,1.0,0.0,,,,0.006123,[ 3.25260652e-19  1.63235592e-03 -4.06575815e-19],0.001632,False
-0.07,0.01,-0.07,0.0,1.0,0.0,,,,0.00118,[1.86900058e-05 2.13225094e-04 3.78538816e-05],0.000217,False
-0.07,0.01,-0.06,0.0,1.0,0.0,,,,0.001208,[2.31783927e-05 2.54123073e-04 4.46937030e-05],0.000259,False
-0.07,0.01,-0.05,0.0,1.0,0.0,,,,0.001228,[2.87502809e-05 3.02355695e-04 5.25862760e-05],0.000308,False
-0.07,0.01,-0.04,0.0,1.0,0.0,,,,0.001239,[3.56479096e-05 3.59019589e-04 6.15934148e-05],0.000366,False
-0.07,0.01,-0.03,0.0,1.0,0.0,,,,0.001245,[4.41539469e-05 4.25257666e-04 7.17273867e-05],0.000434,False
-0.07,0.01,-0.02,0.0,1.0,0.0,,,,0.001252,[5.45909346e-05 5.02197788e-04 8.29211347e-05],0.000512,False
-0.07,0.01,-0.01,0.0,1.0,0.0,,,,0.001277,[6.73165203e-05 5.90857332e-04 9.49893332e-05],0.000602,False
-0.07,0.01,0.0,0.0,1.0,0.0,,,,0.001351,[8.27125575e-05 6.92003767e-04 1.07579619e-04],0.000705,False
-0.07,0.01,0.01,0.0,1.0,0.0,,,,0.001519,[0.00010117 0.00080596 0.00012011],0.000821,False
-0.07,0.01,0.02,0.0,1.0,0.0,,,,0.001828,[0.00012304 0.00093235 0.00013172],0.00095,False
-0.07,0.01,0.03,0.0,1.0,0.0,,,,0.002314,[0.00014861 0.00106977 0.00014118],0.001089,False
-0.07,0.01,0.04,0.0,1.0,0.0,,,,0.002995,[0.00017804 0.00121537 0.00014682],0.001237,False
-0.07,0.01,0.05,0.0,1.0,0.0,,,,0.003872,[0.00021123 0.00136441 0.0001465 ],0.001388,False
-0.07,0.01,0.06,0.0,1.0,0.0,,,,0.004926,[0.0002477  0.00150973 0.00013761],0.001536,False
-0.07,0.01,0.07,0.0,1.0,0.0,,,,0.006094,[0.00028637 0.00164128 0.00011716],0.00167,False
-0.07,0.02,-0.07,0.0,1.0,0.0,,,,0.001191,[3.70564927e-05 2.05216064e-04 7.48741894e-05],0.000222,False
-0.07,0.02,-0.06,0.0,1.0,0.0,,,,0.001223,[4.59867047e-05 2.44791922e-04 8.84674631e-05],0.000264,False
-0.07,0.02,-0.05,0.0,1.0,0.0,,,,0.001247,[5.70900321e-05 2.91581657e-04 1.04186320e-04],0.000315,False
-0.07,0.02,-0.04,0.0,1.0,0.0,,,,0.001263,[7.08607151e-05 3.46722817e-04 1.22172238e-04],0.000374,False
-0.07,0.02,-0.03,0.0,1.0,0.0,,,,0.001274,[8.78793216e-05 4.11430533e-04 1.42474322e-04],0.000444,False
