x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
0.0,-0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[-2.59403840e-20  8.93664919e-04 -1.20408525e-04],0.000902,True
0.0,-0.01,0.0,0.0,1.0,0.0,,,,0.000798,[-1.28113733e-20  1.02181041e-03 -1.35629250e-04],0.001031,True
0.0,-0.01,0.01,0.0,1.0,0.0,,,,0.000798,[-5.42630482e-21  1.16586451e-03 -1.51791067e-04],0.001176,True
0.0,-0.01,0.02,0.0,1.0,0.0,,,,0.000798,[ 1.03232140e-21  1.32667434e-03 -1.68543460e-04],0.001337,True
0.0,0.0,-0.02,0.0,1.0,0.0,,,,0.000798,[1.74700545e-21 7.83385257e-04 1.62630326e-19],0.000783,True
0.0,0.0,-0.01,0.0,1.0,0.0,,,,0.000798,[-2.14405215e-21  8.96617688e-04 -5.42101086e-19],0.000897,True
0.0,0.0,0.0,0.0,1.0,0.0,,,,0.000798,[ 9.60853000e-21  1.02443872e-03 -6.50521303e-19],0.001024,True
0.0,0.0,0.01,0.0,1.0,0.0,,,,0.000798,[-3.28225267e-21  1.16787619e-03 -2.16840434e-19],0.001168,True
0.0,0.0,0.02,0.0,1.0,0.0,,,,0.000798,[-3.91752738e-21  1.32767557e-03 -7.58941521e-19],0.001328,True
0.0,0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[1.10643679e-20 7.80317807e-04 1.06336585e-04],0.000788,True
0.0,0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[8.17916190e-21 8.93664919e-04 1.20408525e-04],0.000902,True
0.0,0.01,0.0,0.0,1.0,0.0,,,,0.000798,[6.72332402e-21 1.02181041e-03 1.35629250e-04],0.001031,True
0.0,0.01,0.01,0.0,1.0,0.0,,,,0.000798,[1.71524172e-20 1.16586451e-03 1.51791067e-04],0.001176,True
0.0,0.01,0.02,0.0,1.0,0.0,,,,0.000798,[1.97729254e-20 1.32667434e-03 1.68543460e-04],0.001337,True
0.0,0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[6.03510975e-21 7.70975255e-04 2.12722674e-04],0.0008,True
0.0,0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[1.96405765e-20 8.84612651e-04 2.41211918e-04],0.000917,True
0.0,0.02,0.0,0.0,1.0,0.0,,,,0.000798,[2.53845186e-20 1.01366587e-03 2.72145154e-04],0.00105,True
0.0,0.02,0.01,0.0,1.0,0.0,,,,0.000798,[-6.96155204e-21  1.15949270e-03  3.05144617e-04],0.001199,True
0.0,0.02,0.02,0.0,1.0,0.0,,,,0.000798,[1.40289832e-20 1.32324749e-03 3.39549561e-04],0.001366,True
0.01,-0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[ 1.45224909e-05  7.67332359e-04 -2.11405953e-04],0.000796,True
0.01,-0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[ 1.73929040e-05  8.80235582e-04 -2.39641678e-04],0.000912,True
0.01,-0.02,0.0,0.0,1.0,0.0,,,,0.000798,[ 2.08083290e-05  1.00841010e-03 -2.70280425e-04],0.001044,True
0.01,-0.02,0.01,0.0,1.0,0.0,,,,0.000798,[ 2.48530535e-05  1.15318954e-03 -3.02941771e-04],0.001193,True
